사업장번호,사업장명,납부자번호,팩스번호,수신건수,최초수신일,최근수신일,예시파일명(최대3개),비고
,,,0315931737,1,2026-06-19,2026-06-19,0315931737_20260619104154.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315932664,1,2026-06-08,2026-06-08,0315932664_20260608133247.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315934421,1,2026-06-24,2026-06-24,0315934421_20260624160208.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315936613,1,2026-06-17,2026-06-17,0315936613_20260617143025.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315948883,1,2026-06-22,2026-06-22,0315948883_20260622092621.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315949525,1,2026-06-19,2026-06-19,0315949525_20260619170715.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315950572,1,2026-06-23,2026-06-23,0315950572_20260623110552.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0317710406,1,2026-06-15,2026-06-15,0317710406_20260615083209.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0317717066,1,2026-06-19,2026-06-19,0317717066_20260619155157.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0317729963,4,2026-06-24,2026-06-25,0317729963_20260624151050.tif; 0317729963_20260624152123.tif; 0317729963_20260625094527.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0317741054,1,2026-06-22,2026-06-22,0317741054_20260622100526.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,03180711051,1,2026-06-22,2026-06-22,03180711051_20260622160523.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,03180711705,1,2026-06-23,2026-06-23,03180711705_20260623154724.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318110380,1,2026-06-22,2026-06-22,0318110380_20260622152030.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318110769,1,2026-06-19,2026-06-19,0318110769_20260619093043.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318111073,1,2026-06-17,2026-06-17,0318111073_20260617092622.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318116546,1,2026-06-22,2026-06-22,0318116546_20260622155424.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318117112,1,2026-06-22,2026-06-22,0318117112_20260622115129.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318117942,1,2026-06-02,2026-06-02,0318117942_20260602100135.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318119398,1,2026-06-18,2026-06-18,0318119398_20260618144213.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318124339,1,2026-06-19,2026-06-19,0318124339_20260619171810.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318130117,1,2026-06-23,2026-06-23,0318130117_20260623144131.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318134252,1,2026-06-19,2026-06-19,0318134252_20260619092011.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318134541,1,2026-06-18,2026-06-18,0318134541_20260618132332.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318136138,1,2026-06-18,2026-06-18,0318136138_20260618111201.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318136353,1,2026-06-22,2026-06-22,0318136353_20260622090530.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318139993,1,2026-06-19,2026-06-19,0318139993_20260619095445.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318141038,2,2026-06-22,2026-06-22,0318141038_20260622094522.tif; 0318141038_20260622094839.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318141181,1,2026-06-19,2026-06-19,0318141181_20260619100056.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318141533,1,2026-06-18,2026-06-18,0318141533_20260618163858.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318143764,1,2026-06-23,2026-06-23,0318143764_20260623092058.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318146022,1,2026-06-15,2026-06-15,0318146022_20260615161715.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318146667,1,2026-06-12,2026-06-12,0318146667_20260612160505.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318148788,1,2026-06-22,2026-06-22,0318148788_20260622090517.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318149964,1,2026-06-02,2026-06-02,0318149964_20260602153755.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318150054,1,2026-06-17,2026-06-17,0318150054_20260617133208.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318150595,1,2026-06-19,2026-06-19,0318150595_20260619090030.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318150833,1,2026-06-22,2026-06-22,0318150833_20260622105811.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318151890,1,2026-06-01,2026-06-01,0318151890_20260601133127.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318152314,1,2026-06-19,2026-06-19,0318152314_20260619134157.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318154023,1,2026-06-22,2026-06-22,0318154023_20260622090031.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318156223,1,2026-06-25,2026-06-25,0318156223_20260625170119.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318162133,2,2026-05-27,2026-06-24,0318162133_20260527134822.tif; 0318162133_20260624090808.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318163053,1,2026-06-17,2026-06-17,0318163053_20260617134350.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318164815,1,2026-06-26,2026-06-26,0318164815_20260626103006.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318168448,1,2026-06-22,2026-06-22,0318168448_20260622101551.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318168546,1,2026-06-18,2026-06-18,0318168546_20260618090639.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318168787,1,2026-06-23,2026-06-23,0318168787_20260623094728.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318169650,1,2026-06-22,2026-06-22,0318169650_20260622152608.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318170110,1,2026-06-19,2026-06-19,0318170110_20260619095852.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318174591,1,2026-06-17,2026-06-17,0318174591_20260617132451.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318175535,1,2026-06-22,2026-06-22,0318175535_20260622153447.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318177111,1,2026-06-24,2026-06-24,0318177111_20260624125718.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318177810,1,2026-06-02,2026-06-02,0318177810_20260602151832.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318179757,1,2026-06-22,2026-06-22,0318179757_20260622150009.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318190250,3,2026-06-12,2026-06-25,0318190250_20260612152426.tif; 0318190250_20260622162905.tif; 0318190250_20260625161712.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318190254,1,2026-06-22,2026-06-22,0318190254_20260622094601.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318191479,2,2026-06-19,2026-06-19,0318191479_20260619174700.tif; 0318191479_20260619174847.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318193343,2,2026-05-27,2026-06-22,0318193343_20260527134657.tif; 0318193343_20260622143927.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318195445,1,2026-06-19,2026-06-19,0318195445_20260619171400.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318196468,1,2026-06-23,2026-06-23,0318196468_20260623153633.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318199241,1,2026-06-19,2026-06-19,0318199241_20260619172159.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318214787,1,2026-05-28,2026-05-28,0318214787_20260528101503.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318217773,1,2026-06-22,2026-06-22,0318217773_20260622170011.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318234152,1,2026-06-24,2026-06-24,0318234152_20260624151814.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318244546,1,2026-06-23,2026-06-23,0318244546_20260623133614.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318263451,1,2026-06-18,2026-06-18,0318263451_20260618140618.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318273495,1,2026-06-23,2026-06-23,0318273495_20260623150011.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318296675,1,2026-06-18,2026-06-18,0318296675_20260618172741.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318350809,1,2026-06-24,2026-06-24,0318350809_20260624091931.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318367054,1,2026-06-25,2026-06-25,0318367054_20260625142855.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318373743,1,2026-06-23,2026-06-23,0318373743_20260623093345.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318373778,1,2026-06-18,2026-06-18,0318373778_20260618112911.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318389335,3,2026-05-28,2026-06-29,0318389335_20260528115642.tif; 0318389335_20260528120531.tif; 0318389335_20260629110421.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318401778,1,2026-06-17,2026-06-17,0318401778_20260617160207.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318420775,1,2026-06-26,2026-06-26,0318420775_20260626095133.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318423525,1,2026-06-23,2026-06-23,0318423525_20260623104308.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318423595,1,2026-06-23,2026-06-23,0318423595_20260623135349.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318423719,1,2026-06-22,2026-06-22,0318423719_20260622101413.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318427302,2,2026-06-22,2026-06-22,0318427302_20260622140353.tif; 0318427302_20260622140558.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318435688,1,2026-06-23,2026-06-23,0318435688_20260623152335.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318436084,1,2026-06-22,2026-06-22,0318436084_20260622092834.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318439821,1,2026-06-09,2026-06-09,0318439821_20260609135000.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318442617,1,2026-06-19,2026-06-19,0318442617_20260619111553.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318443744,1,2026-06-23,2026-06-23,0318443744_20260623102901.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318450958,1,2026-06-19,2026-06-19,0318450958_20260619134529.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318460613,5,2026-06-01,2026-06-23,0318460613_20260601142543.tif; 0318460613_20260601161025.tif; 0318460613_20260602102631.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318461339,2,2026-06-22,2026-06-22,0318461339_20260622143148.tif; 0318461339_20260622143656.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318463823,1,2026-06-23,2026-06-23,0318463823_20260623135357.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318470158,1,2026-06-26,2026-06-26,0318470158_20260626170420.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318471262,1,2026-06-24,2026-06-24,0318471262_20260624110721.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318475989,2,2026-06-02,2026-06-23,0318475989_20260602101218.tif; 0318475989_20260623133122.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318477371,1,2026-06-22,2026-06-22,0318477371_20260622092753.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318480457,1,2026-06-19,2026-06-19,0318480457_20260619102901.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318485547,1,2026-06-15,2026-06-15,0318485547_20260615154954.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318487871,1,2026-06-19,2026-06-19,0318487871_20260619141145.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318521856,1,2026-06-22,2026-06-22,0318521856_20260622085651.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318527172,1,2026-06-23,2026-06-23,0318527172_20260623091215.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318527506,1,2026-06-22,2026-06-22,0318527506_20260622095243.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0318527587,1,2026-06-11,2026-06-11,0318527587_20260611100346.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
