source_file,frame_index,frame_count,doc_index_in_frame,doc_type,site_hint_text,billing_period,usage_start_date,usage_end_date,supply_amount,vat_amount,power_fund_raw,current_period_charge,late_fee,unpaid_amount,unpaid_late_fee,other_fee,due_total_amount,overdue_total_amount,arithmetic_due_status,arithmetic_overdue_status,cross_field_status,cross_field_detail,site_id,site_name,match_method,match_confidence,history_status,history_prev_month_deviation,history_prev_year_deviation,min_field_confidence,notes,error
023819437_20260619170906.tif,0,1,0,관리비고지서,고양삼송마을18단지,202605,,,,,,592950,,0,2840,,595790,,OK(당월부과액기준),N/A,OK,,,,제외(관할아님/비고지서),0.0,,,,0.7,"전기에너지 항목만 표시되어 있으며 세부항목(전력량료 561,590 + 기후환경 20,160 + 연료비조정 11,200 = 592,950)의 합이 당월부과액과 일치함. 미납액은 명시적 숫자가 없으나 빈칸이므로 0으로 추정.",
0260086038_20260601083657.tif,0,1,0,기타,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,제외(비고지서),0.0,,,,,"이 이미지는 청구서(세금계산서/계산서/관리비고지서/수기영수증)가 아니라 자동차 등록원부(갑) 등본으로, 요청된 문서 유형에 해당하지 않아 청구 금액 관련 필드를 추출할 수 없음.",
0262231286_20260622153440.tif,0,1,0,관리비고지서,용현금융아파트 관리사무소 (KT 전기사용량),202605,2026-04-16,2026-05-15,,,,22050,,0,,,22050,,OK(당월부과액기준),N/A,N/A,,BPS010402103,용현금용아파트,fax_exact,1.0,이력없음,,,0.85,"KT 전기사용량 고지서로 공급가액/부가세 구분 없이 금액(22,050원)만 표기됨. 전월미납 0원, 금액이 납기내금액과 동일.",
0262231286_20260622161627.tif,0,1,0,기타,용현금용아파트 관리사무소 (KT 전기사용량),202605,2026-04-16,2026-05-15,,,,22050,,0,,,22050,,OK(당월부과액기준),N/A,N/A,,BPS010402103,용현금용아파트,fax_exact,1.0,이력없음,,,0.6,"KT 전기사용량 안내문 형식으로, 세금계산서/관리비고지서 표준 서식과 다름. 금액은 전월미납 0원 + 금월 사용요금 22,050원 = 최종 22,050원.",
027340685_20260618160435.tif,0,1,0,관리비고지서,세종로대우빌딩,202605,,,68545,6855,2030,77430,1550,0,0,,77430,78980,OK(당월부과액기준),OK(당월부과액기준),OK,,,,제외(관할아님/비고지서),0.0,,,,0.85,"과세합(75,400)=공급가액+부가세, 비과세합(2,030)=세대전력기금(power_fund_raw). 당월부과액계=과세합+비과세합=77,430으로 정합. 전기 사용량 433Kwh 표기 있으나 사용기간 명시 없음.",
0314263379_20260622153353.tif,0,1,0,관리비고지서,생연프라자,202606,,2026-06-22,10200,1020,275,11500,580,0,0,280,11500,12080,OK(당월부과액기준),OK(당월부과액기준),OK,,BPS010406049,생연프라자,fax_exact,1.0,이력없음,,,0.8,"당월부과액계(11,500)는 공급가액(10,200)+세액(1,020)+기타세합계(280)로 구성됨. 전력기금 275는 납입영수증 구역에 별도 표기됨. 미납액/미납연체료는 0으로 판단(빈칸).",
0315110195_20260527104426.tif,0,1,0,관리비고지서,창현청구 999동 102호,202604,,,29000,,,29000,,28000,70,,57070,,OK(당월부과액기준),N/A,OK,,BPS010404088,창현청구,fax_exact,1.0,이력없음,,,0.9,"전기에너지 항목만 존재(29,000원), 열에너지/수도 없음. 부가세 항목 별도 표기 없음.",
0315110195_20260629130102.tif,0,1,0,관리비고지서,창현청구 999동 102호,202605,,,29000,,,29000,,29000,150,,58150,,OK(당월부과액기준),N/A,OK,,BPS010404088,창현청구,fax_exact,1.0,정상,0.0189,,0.8,"전기에너지 항목만 표시되며 다른 세부항목(수도, 열에너지 등)은 0 또는 공란. 당월부과액=전기료 29,000원으로 합계됨.",
0315110478_20260619101618.tif,0,1,0,관리비고지서,남양주 호평6단지 아파트,202605,2026-04-08,2026-05-07,,,,75600,,,,,75600,,OK(당월부과액기준),N/A,N/A,,BPD110111743,남양주 호평6단지 아파트,fax_exact,1.0,이력없음,,,0.85,전기요금 청구서(광통신 장비 전기료). 세부 항목(공급가액/부가세) 구분 없이 청구금액 단일 표기됨.,
0315110478_20260619101618.tif,1,2,0,관리비고지서,남양주호평6단지,202605,,,,,,75600,,,,,75600,,OK(당월부과액기준),N/A,OK,,BPD110111743,남양주 호평6단지 아파트,fax_exact,1.0,이력없음,,,0.6,"당월고지금액/납기내금액 모두 75,600원으로 일치. 미납액/연체료 항목은 흑백 반전으로 판독 불가하여 null 처리. 세부항목(세대전기료 등)은 흐릿함.",
0315111708_20260622132948.tif,0,1,0,관리비고지서,한화꿈에그린아파트 / 한국통신,202605,,,,,,76750,,0,0,,76750,,OK(당월부과액기준),N/A,OK,,BPS010404113,한화꿈에그린아파트,fax_exact,1.0,이력없음,,,0.8,"전기에너지 항목만 있는 고지서로, 당월부과액과 납기내금액이 동일(76,750원). 미납액/미납연체료는 빈칸으로 0으로 처리.",
0315119332_20260622164919.tif,0,1,0,관리비고지서,다남프라자,202606,,,26400,2640,980,30020,600,0,0,980,30020,30620,OK(당월부과액기준),OK(당월부과액기준),OK,,BPD110106522,다남프라자,fax_exact,1.0,이력없음,,,0.85,"전기 사용요금 26,400 + 부가세 2,640 + 전력기금 980 = 당월부과액계 30,020. 미납액/미납연체료는 빈칸으로 0으로 처리. 사용기간 정보는 인쇄되어 있지 않음.",
0315120019_20260622162014.tif,0,1,0,관리비고지서,덕소한솔강변,202605,2026-04-01,2026-04-30,,,,51480,,49230,,,100710,,OK(당월부과액기준),N/A,OK,,BPS010405014,덕소한솔강변,fax_exact,1.0,이력없음,,,0.8,미납연체료 칸은 빈칸으로 값 없음(0으로 추정하지 않고 null 처리). 51480+49230=100710으로 납기내금액과 일치.,
0315124744_20260622091403.tif,0,1,0,관리비고지서,구리인창2차성원 관리사무소,202605,,,,,,64250,,0,0,,64250,,OK(당월부과액기준),N/A,OK,,BPS010403044,구리인창2차성원,fax_exact,1.0,이력없음,,,0.8,"세대전기료 257kWh 항목만 존재하며 전력량료(60,652)+기후환경(2,313)+연료비조정(1,285)=64,250으로 당월부과액과 일치. 부가세/공급가액 구분 없음.",
0315126448_20260618130852.tif,0,1,0,관리비고지서,구리인창6단지아파트,202605,2026-04-08,2026-05-07,,,,58270,,,,,58270,,OK(당월부과액기준),N/A,OK,,BPD110106436,구리인창6단지아파트,fax_exact,1.0,이력없음,,,0.6,"전기/수도 사용량이 0kWh, 0t로 표기되어 있어 세부항목 산정 불가. 당월부과액계와 납기내금액이 동일(58,270원)하며 미납액/연체료 없음. 전기 사용기간은 공지사항의 산출기간(전기료) 값을 사용.",
0315127568_20260623172927.tif,0,1,0,관리비고지서,남양주오남신우아이딜2차 (한국통신 KT유선전기료),202605,2026-04-10,2026-05-09,,,,80100,,0,30,,80130,,OK(당월부과액기준),N/A,OK,,BPS010414039,남양주오남신우아이딜2차,fax_exact,1.0,이력없음,,,0.7,"전기 사용요금 단일 세대 고지서. 미납액은 명시적 라벨은 없으나 미납연체료 30원과 당월부과액 80,100원의 합이 납기내금액 80,130원과 일치하여 미납액은 0으로 판단.",
0315133500_20260623095344.tif,0,1,0,관리비고지서,진건현대,202605,,,,,,59800,,0,0,,59800,,OK(당월부과액기준),N/A,OK,,BPD110106494,진건현대,fax_exact,1.0,이력없음,,,0.6,"관리비 부과현황 표에 세부항목(전기, 수도 등)이 대부분 0 또는 공란으로 표시되어 있고, 손글씨로 'K.T 0.64kW', '160', '75', '299kW' 등이 적혀있으나 어떤 항목에 대응하는지 불명확하여 세부항목은 기록하지 않음. 당월관리비 합계 59,800원만 확인됨.",
0315133625_20260623095657.tif,0,1,0,기타,퇴계원 강남2차아파트 관리사무소,202606,2026-03-23,2026-04-22,,,,51000,,,,,51000,,OK(당월부과액기준),N/A,N/A,,BPD110113360,퇴계원 강남2차아파트,fax_exact,1.0,이력없음,,,0.6,"전기사용료 청구서(관리사무소 발행, KT 앞). 세금계산서 형식이 아니며 공급가액/세액 구분 없이 '당월정구금액'만 표기됨. 이를 current_period_charge 및 due_total_amount로 처리함.",
0315140091_20260622100300.tif,0,1,0,관리비고지서,평내중흥S-클래스3단지,202605,2026-05-08,2026-06-07,,,,75750,,0,0,,75750,,OK(당월부과액기준),N/A,OK,,BPS010404059,평내중흥S-클래스3단지,fax_exact,1.0,이력없음,,,0.6,전기사용량 303kWh에 대한 관리비 전액이 전기료로 구성됨. 미납액/미납연체료는 빈칸으로 0으로 처리. 세부항목(청소비 등)은 모두 공란으로 인쇄되어 있어 확인 불가.,
0315141367_20260622100043.tif,0,1,0,관리비고지서,진접금강펜테리움,202605,,,,,,73800,,0,0,,73800,,OK(당월부과액기준),N/A,OK,,BPD110112069,진접금강펜테리움,fax_exact,1.0,이력없음,,,0.7,"전기사용기간(4.10-5.09)은 명세서에 별도 표기되어 usage_start/end_date는 사용월과 달라 채우지 않음. 관리비 명세서는 전기에너지 항목만 존재(73,800원), 열/수도 항목 금액 없음.",
0315143132_20260624102323.tif,0,1,0,관리비고지서,삼익파크힐스,202605,,,,,,5550,,0,0,,5550,,OK(당월부과액기준),N/A,OK,,BPS010404040,삼익파크힐스,fax_exact,1.0,이력없음,,,0.7,"전기료만 청구되는 세대 명세서. 공급가액/부가세 구분 없음. 세대전기료(30kWh) 5,550원, 미납액/미납연체료 표기는 공란으로 0으로 간주.",
0315147566_20260622091436.tif,0,1,0,관리비고지서,오남리신우아이딜1차,202605,2026-04-10,2026-05-09,,,,80000,,0,30,,80030,,OK(당월부과액기준),N/A,OK,,BPD110106432,오남리신우아이딜1차,fax_exact,1.0,이력없음,,,0.8,"관리비 산출기간은 2026.05.01~2026.05.31로 표기되어 있으나 전기료 산출기간(2026.04.10~2026.05.09)을 usage_start/end_date로 채택함. 당월부과액계는 하단 '합계' 항목(80,000)과 일치.",
