사업장번호,사업장명,납부자번호,팩스번호,수신건수,최초수신일,최근수신일,예시파일명(최대3개),매칭비고
BPS010404113,한화꿈에그린아파트,0101-93615-9999,0315111708,1,2026-06-22,2026-06-22,0315111708_20260622132948.tif,"자동매칭(고신뢰,account_name,0.98): (구리-남양주)E030_호평한화꿈에그린_ / 한화꿈에그린아파트(9999동101호). (***** 8888동 101호 따로있음!!!)"
BPD110106522,다남프라자,,0315119332,1,2026-06-22,2026-06-22,0315119332_20260622164919.tif,"매칭후보(확인필요-명칭이 너무 일반적(브랜드명 충돌 위험),site_name,1.00): (구리-남양주)다남프라자(132-82-64272) / 다남프라자(1동B101호) 1328264272 [사업장번호:BPD110106522]"
BPS010405014,덕소한솔강변,0001-72556-9999,0315120019,1,2026-06-22,2026-06-22,0315120019_20260622162014.tif,"자동매칭(고신뢰,account_name,1.00): (구리-덕소)E004_덕소한솔강변- (9999-1) / 덕소한솔강변(9999동1호)"
BPS010403044,구리인창2차성원,0101-93011-0999,0315124744,1,2026-06-22,2026-06-22,0315124744_20260622091403.tif,"자동매칭(고신뢰,account_name,1.00): (구리)인창성원2차_아파트 / 구리인창2차성원(999동101호)"
BPD110106436,구리인창6단지아파트,0101-93010-0999,0315126448,1,2026-06-18,2026-06-18,0315126448_20260618130852.tif,"자동매칭(고신뢰,account_name,1.00): 구리인창주공6단지아파트999동101호 / 구리인창6단지아파트"
BPS010414039,남양주오남신우아이딜2차,0001-10894-8888,0315127568,1,2026-06-23,2026-06-23,0315127568_20260623172927.tif,"자동매칭(고신뢰,site_name,0.96): (구리-퇴계원)오남신우아이딜2차 / 남양주오남신우아이딜2차8888동1호"
BPD110106494,진건현대,0002-76099-0105,0315133500,1,2026-06-23,2026-06-23,0315133500_20260623095344.tif,"자동매칭(고신뢰,site_name,1.00): (구리-퇴계원)진건현대 (105-2) / 진건현대(105동2호)"
BPD110113360,퇴계원 강남2차아파트,,0315133625,1,2026-06-23,2026-06-23,0315133625_20260623095657.tif,"자동매칭(고신뢰,account_name,1.00): (구리-퇴계원)강남건영2차APT / 퇴계원강남2차아파트"
BPS010404059,평내중흥S-클래스3단지,0001-72550-9999,0315140091,1,2026-06-22,2026-06-22,0315140091_20260622100300.tif,"자동매칭(고신뢰,account_name,0.94): (구리-남양주)평내중흥3단지아파트[ ] / 평내중흥S-클래스3단지9999동1호"
BPD110112069,진접금강펜테리움,0101-79830-9999,0315141367,1,2026-06-22,2026-06-22,0315141367_20260622100043.tif,"자동매칭(고신뢰,site_name,1.00): (구리-퇴계원)진접금강펜테리움 / 진접금강펜테리움(9999동101호)"
BPS010404040,삼익파크힐스,0101-76406-0999,0315143132,1,2026-06-24,2026-06-24,0315143132_20260624102323.tif,"자동매칭(고신뢰,account_name,1.00): (구리-남양주)묵현삼익파크 / 삼익파크힐스(999동101호)"
BPD110106432,오남리신우아이딜1차,0102-10590-0999,0315147566,1,2026-06-22,2026-06-22,0315147566_20260622091436.tif,"자동매칭(고신뢰,site_name,0.97): (구리-퇴계원)오남리신우아이딜1차아파트 / 신우아이딜1차아파트(999동102호)"
BPS010414052,오남1차한국아파트,0102-79402-0999,0315147723,1,2026-06-22,2026-06-22,0315147723_20260622090517.tif,"자동매칭(고신뢰,account_name,0.95): (구리-퇴계원)V012_E050_오남한국_ / 오남1차한국(999동102호)"
BPD110106803,호평쌍용스윗닷홈,0101-94237-9999,0315150002,1,2026-06-22,2026-06-22,0315150002_20260622085601.tif,"자동매칭(고신뢰,site_name,1.00): (구리-남양주)호평쌍용스윗닷홈 / 호평쌍용스윗닷홈(9999동101호)"
BPD110106481,금곡미라보아파트,0105-76418-0999,0315150558,2,2026-05-27,2026-06-22,0315150558_20260527171718.tif; 0315150558_20260622142904.tif,"자동매칭(고신뢰,account_name,1.00): (구리-남양주)금곡미라보 / 금곡미라보아파트(999동105호)"
BPD110106410,구리노블하임오피스텔,0101282869999,0315154076,1,2026-06-26,2026-06-26,0315154076_20260626103422.tif,"자동매칭(고신뢰,account_name,1.00): (구리)노블하임오피스텔 / 구리노블하임오피스텔(9999동101호)"
BPD110106439,임광그대가아파트,,0315156605,1,2026-06-18,2026-06-18,0315156605_20260618145451.tif,"자동매칭(고신뢰,site_name,1.00): (구리-남양주)임광그대가아파트 / 임광그대가아파트"
BPD110119771,마석장미,0103-76456-0999,0315158826,1,2026-06-17,2026-06-17,0315158826_20260617091537.tif,"자동매칭(고신뢰,site_name,0.94): (구리-남양주)마석장미아파트 / 마석장미아파트"
BPD110109934,진접남양휴튼,0101-40921-9999,0315159097,2,2026-05-27,2026-06-26,0315159097_20260527161844.tif; 0315159097_20260626092122.tif,"자동매칭(고신뢰,site_name,1.00): (구리-퇴계원)진접남양휴튼 (999-101) / 진접남양휴튼(9999동101호)"
BPS010405011,쌍용스윗닷홈리버아파트,,0315163402,1,2026-06-15,2026-06-15,0315163402_20260615105537.tif,엑셀 매칭 실패 - 수동 확인 필요 | Claude교차확인 추가후보(0.75): BPD110106803 (구리-남양주)호평쌍용스윗닷홈(계좌명:호평쌍용스윗닷홈(9999동101호)) 추정지역:구리-퇴계원
BPS010414037,오남신동아파밀리에,0103-92339-9999,0315164647,1,2026-06-18,2026-06-18,0315164647_20260618111355.tif,"자동매칭(고신뢰,account_name,1.00): (구리-퇴계원)오남신동아_아파트 / 오남신동아파밀리에(9999동103호)"
BPD110222108,호평오네뜨센트럴,0109-05048-9999,0315234096,1,2026-06-24,2026-06-24,0315234096_20260624102225.tif,"자동매칭(고신뢰,account_name,0.94): 구리(남양주)호평오네뜨센트럴아파트9999동109호 / 구리(남양주)호평오네뜨센트럴아파트"
BPD110106490,한신그린3차,0101-76014-0999,0315270205,1,2026-06-22,2026-06-22,0315270205_20260622093816.tif,"자동매칭(고신뢰,account_name,0.90): (구리-퇴계원)진건한신3차아파트 / 한신그린3차아파트999동101호"
BPD110108865,남양주자연앤어울림,0101-76315-0999,0315270263,1,2026-06-23,2026-06-23,0315270263_20260623171339.tif,"자동매칭(고신뢰,account_name,1.00): (구리-퇴계원)진접 자연앤어울림 / 남양주자연앤어울림(999동101호)"
BPD110207302,별사랑마을 2-5단지,0104-67927-9999,0315270991,1,2026-06-22,2026-06-22,0315270991_20260622100750.tif,"자동매칭(고신뢰,site_name,1.00): 별사랑마을 2-5단지 / 별사랑마을2-5단지(9999동104호)"
BPD110106475,엘리시아,0101-11201-9999,0315271649,1,2026-06-23,2026-06-23,0315271649_20260623090843.tif,"자동매칭(고신뢰,site_name,1.00): (구리-퇴계원)엘리시아[ ](9999-101) / 엘리시아(9999동101호)"
BPD110112150,반도유보라메이플타운,0601-79048-9999,0315272462,1,2026-06-24,2026-06-24,0315272462_20260624100942.tif,"자동매칭(고신뢰,site_name,1.00): (구리-퇴계원)반도유보라 메이플타운 / 반도유보라메이플타운(9999동601호)"
BPD110107727,양지e-편한세상2단지,0102-83188-9999,0315272481,1,2026-06-23,2026-06-23,0315272481_20260623133018.tif,"자동매칭(고신뢰,account_name,1.00): (구리-퇴계원)오남양지e편한세상2단지 / 양지e-편한세상2단지(9999동102호)"
BPD110192504,별내효성해링턴코트,0107-98236-9999,0315273073,1,2026-06-23,2026-06-23,0315273073_20260623172803.tif,"자동매칭(고신뢰,account_name,1.00): 구리(퇴계원)별내효성해링턴아파트 / 별내효성해링턴코트(9999동107호)"
BPD110111742,진접신도브래뉴아파트,0101-76667-9999,0315280796,1,2026-06-22,2026-06-22,0315280796_20260622091425.tif,"자동매칭(고신뢰,site_name,1.00): (구리-퇴계원)진접신도브래뉴아파트 (999-101) / 진접신도브래뉴아파트(9999동101호)"
BPD110111556,진접동부센트레빌시티2단지,0105-40798-9999,0315282016,1,2026-06-23,2026-06-23,0315282016_20260623150946.tif,"자동매칭(고신뢰,site_name,1.00): (구리-퇴계원)진접동부센트레빌시티2단지(9999-105) / 진접동부센트레빌시티2단지(9999동105호)"
BPD110106474,성원아파트,0004-01595-8888,0315282611,1,2026-06-22,2026-06-22,0315282611_20260622101303.tif,"자동매칭(Claude비전확인+엑셀대조,고신뢰): 성원아파트 / 엑셀사업장명:(구리-퇴계원)성원아파트 / 계좌명:남양주퇴계원성원(8888동4호) [사업장번호:BPD110106474]"
BPD110111558,진접동부센트레빌시티3단지,0101-40799-9999,0315283013,2,2026-06-01,2026-06-18,0315283013_20260601152632.tif; 0315283013_20260618115301.tif,"자동매칭(고신뢰,account_name,1.00): (구리-퇴계원)진접센트레빌시티 3단지 (9999-101) / 진접동부센트레빌시티3단지(9999동101호)"
BPD110117239,별내하우스토리,0003-91750-9100,0315283249,1,2026-06-23,2026-06-23,0315283249_20260623132626.tif,"자동매칭(고신뢰,site_name,1.00): (구리-퇴계원)별내하우스토리 / 별내하우스토리(9100동3호)"
BPS010414030,유호N플러스빌,0102-65680-0999,0315289452,1,2026-06-22,2026-06-22,0315289452_20260622093817.tif,"자동매칭(고신뢰,account_name,1.00): (구리-퇴계원)오남유호 / 유호N플러스빌(999동102호)"
BPS010414061,양지청구,0004-76327-9999,0315296098,1,2026-06-23,2026-06-23,0315296098_20260623101819.tif,"자동매칭(고신뢰,site_name,0.90): (구리-퇴계원)양지청구9999동4호 / 남양주양지리청구아파트"
BPD110106390,극동2차아파트,0102-76530-0999,0315340994,1,2026-06-19,2026-06-19,0315340994_20260619143411.tif,"자동매칭(고신뢰,account_name,1.00): (동두천)-포천-극동2차스타클래스 / 극동2차아파트(999동102호)"
BPD110106384,포천대방노블랜드1차아파트,0001-76502-9999,0315414868,1,2026-06-24,2026-06-24,0315414868_20260624092810.tif,"자동매칭(고신뢰,account_name,0.95): (동두천)-송우-대방샤인빌아파트 / 포천대방노블랜드1차아파트9999동1호"
BPD110106400,세창선단마을아파트,,0315416218,1,2026-06-18,2026-06-18,0315416218_20260618112453.tif,"자동매칭(고신뢰,site_name,0.95): (동두천)-송우-세창선단마을아파트 / 세창선단마을"
BPD110106395,포천2차대방노블랜드,0101-00979-9999,0315416968,1,2026-06-19,2026-06-19,0315416968_20260619144347.tif,"자동매칭(고신뢰,account_name,1.00): (동두천)-포천-대방2차노블랜드아파트(9999-101) / 포천2차대방노블랜드(9999동101호)"
BPD110173440,다산센트레빌,0101-29848-0999,0315511653,1,2026-06-23,2026-06-23,0315511653_20260623145713.tif,"자동매칭(고신뢰,account_name,1.00): (구리)도농동부센트레빌아파트 / 다산센트레빌(999동101호)"
BPD110106417,구리두산아파트,,0315512090,2,2026-05-28,2026-06-29,0315512090_20260528152844.tif; 0315512090_20260629112814.tif,"자동매칭(고신뢰,site_name,1.00): (구리)구리두산아파트[ ] / 구리두산아파트. 360원 빼고 지출"
BPD110106469,부영프라자,9111211360001,0315517395,1,2026-06-24,2026-06-24,0315517395_20260624140246.tif,"자동매칭(Claude비전확인+엑셀대조,고신뢰): 부영프라자 / 엑셀사업장명:(구리)부영프라자(132-82-90315) / 계좌명:부영프라자관리단 [사업장번호:BPD110106469]"
BPD110106800,구리인창주공4단지,0103-05272-0999,0315519742,1,2026-06-19,2026-06-19,0315519742_20260619175422.tif,"자동매칭(고신뢰,account_name,0.93): (구리)경기도 구리시 건원대로 76번길 / 구리인창주공4단지(999동103호) 건원대로76번길"
BPD110106415,고덕프라자,,0315523332,1,2026-06-05,2026-06-05,0315523332_20260605141649.tif,"자동매칭(Claude비전확인+엑셀대조,고신뢰): 고덕프라자 / 엑셀사업장명:(구리)고덕프라자[ ] / 계좌명:고덕프라자(2동9901호) [사업장번호:BPD110106415]"
BPS010403084,아름마을LG,0001-01580-9999,0315524183,1,2026-06-18,2026-06-18,0315524183_20260618090414.tif,"자동매칭(고신뢰,account_name,0.91): (구리)V026LG아름마을 / 아름마을LG아파트9999동1호"
BPS010403088,구리한가람,0106711010999,0315550228,1,2026-06-18,2026-06-18,0315550228_20260618160611.tif,"자동매칭(고신뢰,account_name,0.94): (구리)한가람E034_아파트 / 구리한가람아파트(999동106호)"
BPD110106530,흥화오피스텔,,0315551679,1,2026-06-24,2026-06-24,0315551679_20260624152216.tif,"매칭후보(확인필요,account_name,0.89): (구리)흥화브라운오피스텔 / 흥화오피스텔(999동101호) 종이세금계산서 1328011655 [사업장번호:BPD110106530]"
BPD110115565,리버뷰오피스텔,,0315552063,1,2026-05-29,2026-05-29,0315552063_20260529102550.tif,"자동매칭(Claude비전확인+엑셀대조,고신뢰): 리버뷰오피스텔 / 엑셀사업장명:(구리)리버뷰오피스텔 / 계좌명:리버뷰오피스텔 [사업장번호:BPD110115565]"
BPD110106445,남양주지금동부영,0103-38712-0888,0315554889,2,2026-06-19,2026-06-23,0315554889_20260619134202.tif; 0315554889_20260623162730.tif,"자동매칭(고신뢰,account_name,1.00): (구리)지금동 부영아파트 / 남양주지금동부영(888동101호)"
BPS010403086,토평SK신일,0002-72120-0999,0315564054,1,2026-06-17,2026-06-17,0315564054_20260617111106.tif,"자동매칭(고신뢰,account_name,1.00): (구리)토평SK신일_아파트 / 토평SK신일(999동2호)"
BPS010403081,토평한일,0102-93015-0999,0315566172,1,2026-06-23,2026-06-23,0315566172_20260623111459.tif,"자동매칭(고신뢰,account_name,1.00): (구리)E011_토평한일 / 토평한일(999동102호)"
BPS010403007,구리금호1차,0002-93012-0999,0315567333,1,2026-06-19,2026-06-19,0315567333_20260619140343.tif,"자동매칭(고신뢰,account_name,1.00): 구리금호1(999동2호) / 구리금호1차(999동2호)"
BPS010403040,구리토평삼성래미안,0003-93014-0999,0315578463,1,2026-06-19,2026-06-19,0315578463_20260619151619.tif,"자동매칭(고신뢰,account_name,1.00): (구리)E018삼성래미안_아파트 / 구리토평삼성래미안(999동3호)"
BPS010403080,다산한신휴플러스아파트,0001-76209-9999,0315579288,1,2026-06-19,2026-06-19,0315579288_20260619144703.tif,"자동매칭(고신뢰,account_name,0.96): (구리-남양주)도농 한신 / 다산한신휴플러스(9999동1호)"
BPS010403077,구리토평주공아파트,0101-79452-0999,0315585201,1,2026-06-19,2026-06-19,0315585201_20260619092103.tif,"자동매칭(고신뢰,account_name,1.00): (구리)토평 주공 / 구리토평주공아파트(999동101호)"
BPD110106425,금곡명지해드는터,0001781737777,0315593096,1,2026-06-19,2026-06-19,0315593096_20260619092011.tif,"자동매칭(고신뢰,account_name,1.00): (구리-남양주)금곡명지 해뜨는터 / 금곡명지해드는터(7777동1호)"
BPD110106423,창현대주피오레아파트,,0315599523,1,2026-06-08,2026-06-08,0315599523_20260608140339.tif,"자동매칭(고신뢰,site_name,1.00): (구리-남양주)창현대주피오레아파트 / 창현대주피오레아파트"
BPD110106466,신창현두산위브아파트,0101-75047-0999,0315599548,1,2026-06-22,2026-06-22,0315599548_20260622134921.tif,"자동매칭(고신뢰,site_name,1.00): (구리-남양주)신창현두산위브아파트 / 신창현두산위브(999동101호)"
BPS010403025,구리인창동원베네스트,0002-01138-9999,0315629943,1,2026-06-18,2026-06-18,0315629943_20260618152259.tif,"자동매칭(고신뢰,account_name,1.00): (구리)인창동원베네스트 / 구리인창동원베네스트(9999동2호)"
BPD110106515,다산리버펠리체,0003-91296-0999,0315631060,1,2026-06-23,2026-06-23,0315631060_20260623160323.tif,"자동매칭(고신뢰,site_name,0.93): (구리)다산리버펠리체999동3호_ / 남양아이좋은집(999동3호)"
BPD110114042,다우스퀘어,9901-76763-0001,0315669198,1,2026-06-09,2026-06-09,0315669198_20260609150326.tif,"매칭후보(확인필요,account_name,0.89): (구리)다우스케어 / 다우스퀘어(9901호)_17500 - 선fax 후지출 [사업장번호:BPD110114042]"
BPS010403082,인창해모로아파트,0102-93039-0999,0315670084,1,2026-06-22,2026-06-22,0315670084_20260622140531.tif,"자동매칭(고신뢰,account_name,0.92): (구리)E014_한진그랑빌_ / 구리한진그랑빌아파트(999동102호) 인창해모로아파트"
BPS010403037,구리우방아이유쉘,0002-72448-0999,0315681755,1,2026-06-19,2026-06-19,0315681755_20260619102458.tif,"자동매칭(고신뢰,account_name,1.00): (구리)우방아파트 / 구리우방아이유쉘(999동2호)"
BPD110106428,수택성원상떼빌,0001-74036-8888,0315687903,1,2026-06-17,2026-06-17,0315687903_20260617152620.tif,"자동매칭(고신뢰,site_name,1.00): (구리)수택성원상떼빌 / 수택성원상떼빌(8888동1호)"
BPD110106575,한성1차아파트,,0315692941,1,2026-06-01,2026-06-01,0315692941_20260601182105.tif,"자동매칭(고신뢰,site_name,1.00): (구리)한성1차아파트 / 3/6/9/12"
BPS010201021,동운굿모닝힐2차,0101-1690-9999,0315697339,1,2026-06-19,2026-06-19,0315697339_20260619134047.tif,"자동매칭(고신뢰,account_name,0.96): (일산)동문굿모닝힐2차_아파트 / 굿모닝힐2차(7777동1호)"
BPD110111291,진접휴먼시아17단지,0105-93482-9999,0315711728,1,2026-06-22,2026-06-22,0315711728_20260622164656.tif,"자동매칭(고신뢰,site_name,1.00): (구리-퇴계원)진접휴먼시아17단지 / 진접휴먼시아17단지(9999동105호)"
BPD110106496,정광산호아파트,,0315727198,1,2026-06-18,2026-06-18,0315727198_20260618144408.tif,"자동매칭(고신뢰,site_name,1.00): (구리-퇴계원)정광산호아파트 / 정광산호아파트"
BPD110115827,진건주공2단지,0103-79606-0999,0315740412,1,2026-06-23,2026-06-23,0315740412_20260623093304.tif,"자동매칭(고신뢰,account_name,1.00): (구리-퇴계원)진건주공2차 / 진건주공2단지(999동103호)"
BPS010414038,오남파라다이스빌,0001-10820-9999,0315742703,1,2026-06-22,2026-06-22,0315742703_20260622141102.tif,"자동매칭(고신뢰,account_name,1.00): (구리-퇴계원)E013_오남파라다이스빌- (9999-1) / 오남파라다이스빌(9999동1호)"
BPD110107341,신영지웰생활지원센터,,0315748471,1,2026-06-19,2026-06-19,0315748471_20260619163621.tif,"자동매칭(고신뢰,site_name,1.00): (진접)신영지웰생활지원센터 / 신영지웰생활지원센터"
BPD110107373,장현휴먼시아3단지,,0315748625,1,2026-06-18,2026-06-18,0315748625_20260618161956.tif,"자동매칭(고신뢰,account_name,0.93): (구리-퇴계원)장현주공3단지 / 장현휴먼시아3단지9999동1호"
BPD110117238,별내더샵,0103-83743-9999,0315749379,1,2026-06-22,2026-06-22,0315749379_20260622095054.tif,"자동매칭(고신뢰,account_name,1.00): (구리-퇴계원)별내포스코 / 별내더샵(9999동103호)"
BPS010414049,오남성도아파트,,0315750231,1,2026-06-15,2026-06-15,0315750231_20260615152611.tif,"자동매칭(고신뢰,account_name,0.95): (구리-퇴계원)V009-E031_오남성도 / 남양주오남성도아파트"
BPD110109160,원일플로라,0101-75110-9999,0315750244,1,2026-06-24,2026-06-24,0315750244_20260624091521.tif,"자동매칭(고신뢰,account_name,1.00): (구리-퇴계원)진접원일플로라 / 원일플로라(9999동101호)"
BPD110106497,오남리두산1차,0004-76396-9999,0315755325,1,2026-06-22,2026-06-22,0315755325_20260622154104.tif,"자동매칭(고신뢰,account_name,1.00): (구리-퇴계원)오남두산1차아파트 / 오남리두산1차(9999동4호)"
BPS010414065,오남두산2차아파트,,0315757739,1,2026-06-24,2026-06-24,0315757739_20260624092536.tif,"자동매칭(고신뢰,account_name,1.00): (구리-퇴계원)V025_오남두산2차 / 오남두산2차아파트"
BPS010405019,덕소주공2단지,0003-72146-0999,0315762432,1,2026-06-23,2026-06-23,0315762432_20260623105627.tif,"자동매칭(고신뢰,account_name,1.00): (구리-덕소)V004_덕소주공2차- (999-3) / 덕소주공2단지(999동3호)"
BPS010409046,덕소현대,0005-72149-0999,0315766345,1,2026-06-22,2026-06-22,0315766345_20260622110117.tif,"자동매칭(고신뢰,account_name,1.00): (구리-덕소)V001-덕소현대_아파트 / 덕소현대(999동5호)"
BPS010405017,한강우성아파트,0006-72148-9999,0315766833,1,2026-06-22,2026-06-22,0315766833_20260622113632.tif,"자동매칭(고신뢰,account_name,1.00): (구리-덕소)V002_우성-V011_아파트 / 한강우성아파트(9999동6호)"
BPD110106457,덕소우림루미아트,0001-10992-9999,0315771206,1,2026-06-24,2026-06-24,0315771206_20260624093836.tif,"자동매칭(고신뢰,account_name,1.00): (구리-덕소)우림루미아트 / 덕소우림루미아트(9999동1호)"
BPD110106768,덕소세양청마루,0101-93834-0999,0315773186,1,2026-06-22,2026-06-22,0315773186_20260622095856.tif,"자동매칭(고신뢰,account_name,1.00): (구리-덕소)세양청마루아파트 / 덕소세양청마루(999동101호)"
BPS010405027,덕소벽산아파트,,0315777641,2,2026-06-15,2026-06-15,0315777641_20260615105012.tif; 0315777641_20260615110644.tif,"자동매칭(고신뢰,account_name,1.00): (구리-덕소)벽산_아파트 / 덕소벽산아파트"
BPD110106374,가평파란채,0101-28138-0999,0315859027,1,2026-06-23,2026-06-23,0315859027_20260623155459.tif,"자동매칭(고신뢰,account_name,1.00): (양평_가평)가평파란채아파트 / 가평파란채(999동101호)"
BPS010404068,세종리젠시빌아파트,,0315911563,1,2026-06-22,2026-06-22,0315911563_20260622093638.tif,엑셀 매칭 실패 - 수동 확인 필요 | Claude교차확인 추가후보(0.63): BPS010404068 (구리-남양주)V009_세종_아파트(계좌명:평내세종아파트/평내세종리젠시빌(999) 추정지역:불명
BPS010404119,경성큰마을2단지,0103-93894-0999,0315920046,1,2026-06-17,2026-06-17,0315920046_20260617091110.tif,"자동매칭(고신뢰,account_name,1.00): (구리-남양주)경성큰마을2단지아파트(999-103) / 경성큰마을2단지(999동103호)"
BPS010404060,평내상록데시앙아파트,,0315921158,2,2026-06-22,2026-06-24,0315921158_20260622143830.tif; 0315921158_20260624093550.tif,엑셀 매칭 실패 - 수동 확인 필요 | Claude교차확인 추가후보(0.64): BPS010404060 (구리)E022_평내상록_(계좌명:남양주상록데시앙(9999동101호) ) 추정지역:구리-남양주
BPS010404054,평내마을중흥S클래스2단지,0001-10828-0888,0315925092,1,2026-06-23,2026-06-23,0315925092_20260623091531.tif,"자동매칭(고신뢰,account_name,1.00): (구리-남양주)E016_평내중흥S클래스2단지 (888-1) / 평내마을중흥S클래스2단지(888동1호)"
BPS010404145,창현두산2차아파트,,0315930894,1,2026-06-19,2026-06-19,0315930894_20260619110111.tif,"자동매칭(고신뢰,site_name,1.00): (구리-남양주)창현두산2차_아파트 / 남양주창현두산2차(8888동106호), 창현두산2차아파트 fax)2664"
BPD110106502,삼신16차,0101-01705-9999,0315931737,1,2026-06-19,2026-06-19,0315931737_20260619104154.tif,"자동매칭(고신뢰,site_name,0.92): (구리-남양주)마석삼신16차아파트 / 삼신(9999동101호). 1월분 전기료 31800원인데 35990원 입금했네? 일단 냅두자구"
BPS010404074,창현두산1차아파트,,0315932664,1,2026-06-08,2026-06-08,0315932664_20260608133247.tif,"자동매칭(고신뢰,site_name,1.00): (구리-남양주)창현두산1차_아파트 / 창현두산1차아파트"
BPD110106480,평내메인프라자,,0315934421,1,2026-06-24,2026-06-24,0315934421_20260624160208.tif,"자동매칭(고신뢰,site_name,0.93): 연합드림관리_평내메인프라자(8801호) (622-82-64101) / 메인프라자 상가번경회(연합드림에서 변경) 6228264101"
BPD110113133,호평두산위브파크,0103-91670-0999,0315936613,1,2026-06-17,2026-06-17,0315936613_20260617143025.tif,"자동매칭(고신뢰,account_name,1.00): (구리-남양주)호평두산위브 / 호평두산위브파크(999동103호)"
BPS010404043,마석그랜드힐,0102-65369-0999,0315948883,1,2026-06-22,2026-06-22,0315948883_20260622092621.tif,"자동매칭(고신뢰,account_name,1.00): (구리-남양주)E005_마석정도그랜드힐- (999-102) / 마석그랜드힐(999동102호)"
BPD110106802,신창현풍림아이원1차,0101-77762-0999,0315949525,1,2026-06-19,2026-06-19,0315949525_20260619170715.tif,"자동매칭(고신뢰,account_name,1.00): (구리-남양주)차산리풍림아이원1차 / 신창현풍림아이원1차(999동101호)"
BPD110106442,금곡신도브래뉴,0102-65230-0999,0315950572,1,2026-06-23,2026-06-23,0315950572_20260623110552.tif,"자동매칭(고신뢰,account_name,1.00): (구리-남양주)금곡신도브레뉴 / 금곡신도브래뉴(999동102호)"
