poc_results
source_file,frame_index,frame_count,doc_index_in_frame,doc_type,site_hint_text,billing_period,supply_amount,vat_amount,power_fund_raw,late_fee,unpaid_amount,unpaid_late_fee,other_fee,due_total_amount,due_total_amount_human_check,overdue_total_amount,sanity_check,min_field_confidence,notes,result_review,error
023763736_20260619095444.tif,0,1,0,관리비고지서,래미안남가좌2차,202605,81220,,,,50220,,,131440,O,,OK,0.9,"전기요금 81,220원(전력량요금 75,368+기후환경 3,762+연료비조정 2,090), 미납연체료는 표기상 공란으로 확인되어 null 처리. 부가세 별도 표기 없음.",,
023819437_20260619170906.tif,0,1,0,관리비고지서,고양삼송마을18단지,202605,592950,,,,0,2840,,595790,O,,OK,0.9,"전기에너지 항목(당월부과액 592,950원)을 공급가액으로 기록. 부가세 별도 표기 없음. 미납연체료 2,840원은 명확히 표기됨. 미납액은 0으로 판단(공란).",,
0260086038_20260601083657.tif,0,1,0,기타,,,,,,,,,,,,,N/A,,이 문서는 자동차등록원부(갑) 등본으로 청구서(세금계산서/계산서/관리비고지서/수기영수증)가 아니므로 금액 필드를 추출할 수 없음.,,
0262231286_20260622153440.tif,0,1,0,관리비고지서,용현금용아파트 관리사무소 (KT 전기사용량),202605,22050,,,,0,,,22050,O,,OK,0.7,"전기사용량 명세서 형태로 부가세 구분 없음. 사용기간 2026.04.16~2026.05.15, 청구년월은 5월 사용분으로 기재. 전월미납 0원.",,
0262231286_20260622161627.tif,0,1,0,수기영수증,용현금융아파트 관리사무소 (KT 전기사용량),202605,,,,,0,,,22050,O,,불일치(차이 +22050원),0.6,"국세청 표준 세금계산서/관리비고지서 서식이 아니라 수기 형태로 작성된 전기사용량 안내문. 공급가액/부가세 구분 없음. 사용량(147KW*150)과 금액(22,050원)만 명시됨. 문서 발행일은 2026.06.22이나 사용기간은 2026.04.16~05.15로 청구년월은 202605로 추정.","“0262231286_20260622153440.tif” 파일과 동일한 내용인데, 왜 추출 값은 다르지?",
027340685_20260618160435.tif,0,1,0,관리비고지서,세종로대우빌딩 F동 109호,202605,68545,6855,2030,1550,,,2030,77430,O,78980,불일치(차이 -2030원),0.85,공급가액/부가세/과세합/비과세합 등 여러 구역 값이 서로 일치하여 신뢰도 높음. 비과세항목(2030)은 세대전력기금으로 표기됨.,"공급가액+부가세+비과세합(전력기금+other_fee)=납기내금액(77430원)을 잘 추출했고, 합산 값도 일치해. 여기에 납기후 연체료(1550원)을 더해서 납기후 금액(78980원)도 잘 추출했고, 합산값도 일치해.",
029514608_20260624145553.tif,0,1,,,,,,,,,,,,,O,,,,,"정전 안내 공문도 팩스로 보내기 때문에, 전기료 청구와는 관련이 없는 내용임. 무시해도 괜찮음.",문서 없음(빈 배열)
0314263379_20260622153353.tif,0,1,0,관리비고지서,생연프라자,202606,10200,1020,275,580,,,280,11500,O,12080,불일치(차이 -275원),0.8,"공급가액/세액/기타요금(전기세합계 280 중 전력기금 275 포함) 여러 구역에서 일치 확인됨. 당월부과액계=납기내금액=11,500으로 일치.","공급가액+부가세+비과세합(전력기금+other_fee)=납기내 금액(11500원)을 잘 추출했고, 합산 값도 일치해. 여기에 납기후연체료(580원)을 더해서 납기후 금액(12080원)도 잘 추출했고, 합산값도 일치해.",
0315110195_20260527104426.tif,0,1,0,관리비고지서,창현청구 999동 102호,202604,29000,,,,28000,70,,57070,O,,OK,0.5,"당월부과액 29,000(전기료)에 미납액 28,000, 미납연체료 70이 더해져 납기내금액 57,070으로 계산됨. 부가세 항목 없음(관리비고지서 성격상 전기료만 별도 표기).",,
0315110195_20260629130102.tif,0,1,0,관리비고지서,창현청구 999동 102호,202605,29000,,,,29000,150,,58150,O,,OK,0.85,"당월부과액 29,000원(전기료)이 그대로 미납액으로 이월되어 미납연체료 150원과 합산되어 납기내금액 58,150원이 산출됨(29,000+29,000+150=58,150). 부가세 항목 없음(전기료만 구성).",,
0315110478_20260619101618.tif,0,2,0,관리비고지서,남양주 호평6단지 아파트 (LH),202605,75600,,,,,,,75600,O,,OK,0.8,"전기요금 청구서로 부가세 별도 표기 없음. 청구금액(75,600원)을 납기내금액으로 채택.",,
0315110478_20260619101618.tif,1,2,0,관리비고지서,남양주호평6단지,202605,75600,,,,,,,75600,O,,OK,0.3,"세대전기료 항목만 명확히 확인됨(75,600원), 관리비 총액과 세대전기료가 동일하게 75,600원으로 표기되어 있어 전기료만 부과된 것으로 보임. 부가세, 전력기금 등 세부 항목은 별도 표기 없음.",,
0315111708_20260622132948.tif,0,1,0,관리비고지서,한화꿈에그린아파트 / 한국통신,202605,76750,,,,0,0,,76750,O,,OK,0.8,"관리비 항목 중 전기에너지(전기요금)만 청구되며 부가세 별도 표기 없음. 당월부과액/납기내금액 모두 76,750원으로 3개 구역(본문, 납입의뢰서, 납입영수증) 일치.",,
0315119332_20260622164919.tif,0,1,0,관리비고지서,다남프라자 1동 B101호,202606,26400,2640,980,600,0,0,,30020,O,30620,OK,0.8,"당월부과액계 30,020, 비과세합계 980(전력기금)로 공급가액+부가세+전력기금=29,040+980=30,020 일치 확인. 여러 구역(관리비명세서/납입통지서/영수증) 값 상호 일치.",,
0315120019_20260622162014.tif,0,1,0,관리비고지서,덕소한솔강변,202605,51480,,,,49230,,,100710,O,,OK,0.3,"관리비명세서 상단 납부하실 금액(100,710원)과 관리비 납입의뢰서/납입영수증의 납기내금액이 100,710원으로 일치함. 전기에너지(세대전기료) 51,480원은 당월부과액과 일치. 부가세 항목은 표기 없음(관리비 고지서로 부가세 별도 명시 없음). 미납액 49,230원은 참고용으로 기재됨(전월 미납분으로 추정, 당월 부과액과 별개).",,
0315124744_20260622091403.tif,0,1,0,관리비고지서,구리인창2차성원 999동 101호,202605,64250,,,,0,0,,64250,O,,OK,0.8,"전기에너지 항목만 있으며 열에너지/수도 등은 빈칸(미사용). 전력량료 60,652 + 기후환경 2,313 + 연료비조정 1,285 = 64,250으로 세부내역 확인됨. 부가세/전력기금 별도 표기 없음.",,
0315126448_20260618130852.tif,0,1,0,관리비고지서,구리인창6단지아파트,202605,58270,,,,,,,58270,O,,OK,0.3,"전기 사용량 0kWh로 표기되어 있으나 청구금액(58,270원)은 발생함. 항목별 세부내역(일반관리비, 청소비 등)은 저해상도로 판독 불가하여 합계만 기록. 부가세 별도 표기 확인 안됨.",,
0315127568_20260623172927.tif,0,1,0,관리비고지서,남양주오남신우아이딜2차 관리사무소 (한국통신 KT유선전기료),202605,80100,,,30,30,,,80130,O,,OK,0.3,"당월부과액 80,100원, 미납액 30원(연체료성 미납), 납기내금액 80,130원으로 표기됨. 부가세 항목은 별도 표기 없음.",,
0315133500_20260623095344.tif,0,1,0,관리비고지서,진건현대,202605,,,,,,,,59800,O,,N/A,0.1,"임대전기료 항목만 59,800원으로 기재되어 있고 전기 사용량은 0KWh로 표시됨. 전기 공급가액/부가세 별도 구분 없음. 손글씨로 '① 64kw ② 160 ③+75 = 299kw' 메모가 있으나 의미 불명확하여 반영하지 않음.","notes에 써진 내용 정확해. 청구서에 당월부과액, 당월관리비, 납기내 항목에 59800원이라고 적혀있는 게 전부이기 때문에, 잘 추출했고, 합산값은 계산할 수 없는 게 맞아.",
0315133625_20260623095657.tif,0,1,0,기타,퇴계원 강남2차아파트 관리사무소 (KT 전기사용료 청구),202604,51000,,,,,,,51000,O,,OK,0.8,"국세청 표준 세금계산서/계산서 서식이 아닌 관리사무소 자체 발행 전기사용료 청구서. 부가세 별도 표기 없음. 당월사용량 340KW, 단가 150원 기준 당월정구금액 51,000원.",,
0315140091_20260622100300.tif,0,1,0,관리비고지서,평내중흥S-클래스3단지,202605,75750,,,,0,0,,75750,O,,OK,0.7,"전기 사용요금(303kWh)이 당월관리비 합계와 동일하게 75,750원으로 표기됨. 부가세 항목 없음. 미납액/미납연체료 칸은 빈칸으로 0으로 추정.",,
0315141367_20260622100043.tif,0,1,0,관리비고지서,진접금강펜테리움 9999동 101호,202605,73800,,,,0,0,,73800,O,,OK,0.8,"세대전기료 73,800원으로 전기에너지 항목만 존재. 열에너지 항목은 공란. 미납액/미납연체료 모두 0으로 표기됨.",,
0315143132_20260624102323.tif,0,1,0,관리비고지서,삼익파크힐스,202605,5550,,,,0,0,,5550,O,,OK,0.5,"전기료 고지서로 부가세 별도 표기 없음. 본문/납입의뢰서/납입영수증 3구역 금액(5,550) 모두 일치하여 신뢰도 높음. 전력량료 5,130+기후환경 270+연료비조정 150=5,550으로 구성 확인됨.",,
0315147566_20260622091436.tif,0,1,0,관리비고지서,오남리신우아이딜1차,202605,80000,,,,0,30,,80030,O,,OK,0.7,"전기 사용요금(공급가액)은 당월부과현황의 전기 80,000원으로 기재. 관리비 산출기간은 2026.05.01~05.31이나 표지에는 '2026년 05월 관리비'로 표기됨. 부가세 항목은 표기 없음. 미납연체료는 30원으로 표기됨(미납연체료 30 확인).",,
